population,adult_population,estimated_households,estimated_vehicle_count,ward,estimated_vehicles_per_person,estimated_vehicles_per_household,estimated_vehicles_per_adult,estimated_residents_with_car_share
9149.865341755652,7650.901260943298,3499.446097332199,4567.489706741716,1,0.49918654932525136,1.305203617859335,0.5969871458226843,0.49918654932525136
7132.192005331157,5759.41155672224,2908.424927728588,3964.282101370294,2,0.5558294137913113,1.3630340132128855,0.6883137387088242,0.5558294137913113
8878.026304755185,7487.389294072827,3502.607126400543,4987.3754273582645,3,0.5617662367914997,1.4239037515131034,0.6661033948517108,0.5617662367914997
7605.757053282834,6452.355433008153,3426.097327178693,3585.976344190435,4,0.4714818418559187,1.0466650540670421,0.555762369482274,0.4714818418559187
8590.06662484873,6934.9195143732095,3227.9759384965273,4534.169072435694,5,0.5278386385641729,1.4046477293593282,0.6538171154024561,0.5278386385641729
8517.973127588319,6506.569655523726,3140.5139326831577,4523.314815560585,6,0.5310318250371453,1.4403103799307158,0.695191945224245,0.5310318250371453
6800.651389774136,5474.763517608643,2688.6188961425937,3478.859743357627,7,0.5115480185601996,1.2939207369065229,0.6354356187565852,0.5115480185601996
9232.042623537935,7655.746196503918,3648.263696290749,5112.396625470756,8,0.5537665751711581,1.4013232186775904,0.6677855422904939,0.5537665751711581
